FDEXX,84,Fidelity Tax-Exempt Money Market Fund - Daily Money Class ($1)
FDLXX,415,Fidelity Treasury Only Money Market Fund ($1)
FDRXX,55,Fidelity Government Cash Reserves ($1)
FDUXX,58,Fidelity Treasury Money Market Fund - Daily Money Class ($1)
FERXX,79,Fidelity Tax-Exempt Money Market Fund - Capital Reserves Class ($1)
FETXX,684,Fidelity Investments Money Market Tax Exempt Portfolio - Class III ($1M)
FEXXX,544,Fidelity Investments Money Market Tax Exempt Portfolio - Class II ($1M)
FGEXX,918,Fidelity Investments Money Market Government Portfolio - Select Class ($1M)
FIGXX,57,Fidelity Investments Money Market Government Portfolio - Class I ($1M)
FISXX,695,Fidelity Investments Money Market Treasury Portfolio - Class I ($1M)
