California Tax-Exempt Bond ETF (VTEC)

"Note: Microsoft Excel opens the downloaded file with $/share column in currency format rounded to two decimal places. To show all five (5) decimal places adjust the decimal place position or change the format of the column to general."

TYPE,$/SHARE,PAYABLE DATE,RECORD DATE,EX-DIVIDEND DATE,DISTRIBUTION YIELD,DISTRIBUTION YIELD AS OF
Income,$0.262600,12/29/2025,12/24/2025,12/24/2025,3.85%,12/24/2025
Income,$0.271900,12/03/2025,12/01/2025,12/01/2025,3.85%,12/01/2025
Income,$0.270900,11/05/2025,11/03/2025,11/03/2025,3.00%,11/03/2025
Income,$0.274300,10/03/2025,10/01/2025,10/01/2025,3.48%,10/01/2025
Income,$0.280000,09/04/2025,09/02/2025,09/02/2025,3.28%,09/02/2025
Income,$0.243500,08/05/2025,08/01/2025,08/01/2025,2.96%,08/01/2025
Income,$0.271600,07/03/2025,07/01/2025,07/01/2025,3.53%,07/01/2025
Income,$0.277400,06/04/2025,06/02/2025,06/02/2025,3.26%,06/02/2025
Income,$0.241400,05/05/2025,05/01/2025,05/01/2025,3.03%,05/01/2025
Income,$0.204800,04/03/2025,04/01/2025,04/01/2025,2.61%,04/01/2025
Income,$0.261300,03/05/2025,03/03/2025,03/03/2025,3.42%,03/03/2025
Income,$0.282700,02/05/2025,02/03/2025,02/03/2025,2.54%,02/03/2025
Income,$0.246500,12/27/2024,12/24/2024,12/24/2024,3.56%,12/24/2024
Income,$0.257200,12/04/2024,12/02/2024,12/02/2024,3.56%,12/02/2024
Income,$0.150500,11/05/2024,11/01/2024,11/01/2024,1.77%,11/01/2024
Income,$0.249300,10/03/2024,10/01/2024,10/01/2024,3.22%,10/01/2024
Income,$0.230300,09/05/2024,09/03/2024,09/03/2024,2.54%,09/03/2024
Income,$0.241900,08/05/2024,08/01/2024,08/01/2024,2.86%,08/01/2024
Income,$0.237700,07/03/2024,07/01/2024,07/01/2024,3.13%,07/01/2024
Income,$0.216700,06/05/2024,06/03/2024,06/03/2024,2.50%,06/03/2024
Income,$0.208600,05/06/2024,05/02/2024,05/01/2024,2.57%,05/02/2024
Income,$0.205600,04/04/2024,04/02/2024,04/01/2024,2.59%,04/02/2024
Income,$0.287400,03/06/2024,03/04/2024,03/01/2024,3.38%,03/04/2024

"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
